,자치구,노후도
0,강남구,0.6756176752678971
1,강동구,0.7368622126577966
2,강북구,0.6811830401174144
3,강서구,0.6179348852925597
4,관악구,0.7011281562614329
5,광진구,0.6909404791335296
6,구로구,0.750728346886063
7,금천구,0.767715252706483
8,노원구,0.666189466450682
9,도봉구,0.6435490756090826
10,동대문구,0.747673964018626
11,동작구,0.799779261738158
12,마포구,0.7634797190082434
13,서대문구,0.804344580577454
14,서초구,0.700158543139815
15,성북구,0.770841102375273
16,성동구,0.6816843842724306
17,송파구,0.6902217095505799
18,양천구,0.5991548411586067
19,영등포구,0.7068985129752976
20,용산구,0.7857986340583869
21,은평구,0.7613720486509599
22,종로구,0.716642447829021
23,중구,0.8442824880366934
24,중랑구,0.5708443692873231
