기온,날짜,자치구
-3.141666667,20150131,중랑구
-7.533333333,20150101,성북구
-6.0,20150102,성북구
0.025,20150103,성북구
2.225,20150104,성북구
3.879166667,20150105,성북구
-5.5541666670000005,20150106,성북구
-5.391666667000001,20150107,성북구
-4.254166667,20150108,성북구
-1.6458333330000001,20150109,성북구
1.533333333,20150110,성북구
-2.391666667,20150111,성북구
-2.116666667,20150112,성북구
1.5125,20150113,성북구
2.6,20150114,성북구
3.2125,20150115,성북구
-1.3875,20150116,성북구
-3.7375,20150117,성북구
0.504166667,20150118,성북구
-1.9916666669999998,20150119,성북구
0.754166667,20150120,성북구
3.054166667,20150121,성북구
2.441666667,20150122,성북구
2.045833333,20150123,성북구
3.575,20150124,성북구
3.733333333,20150125,성북구
1.6458333330000001,20150126,성북구
-5.170833333,20150127,성북구
-2.5958333330000003,20150128,성북구
-0.933333333,20150129,성북구
-4.45,20150130,성북구
-4.158333333,20150131,성북구
-6.604166667,20150101,강북구
-4.966666667,20150102,강북구
0.041666667000000004,20150103,강북구
2.045833333,20150104,강북구
4.3125,20150105,강북구
-4.075,20150106,강북구
-4.475,20150107,강북구
-3.7875,20150108,강북구
-0.7875,20150109,강북구
2.291666667,20150110,강북구
-1.279166667,20150111,강북구
-1.6875,20150112,강북구
1.4583333330000001,20150113,강북구
3.125,20150114,강북구
3.975,20150115,강북구
-0.541666667,20150116,강북구
-2.808333333,20150117,강북구
0.9541666670000001,20150118,강북구
-1.220833333,20150119,강북구
0.6958333329999999,20150120,강북구
3.308333333,20150121,강북구
2.608333333,20150122,강북구
2.570833333,20150123,강북구
3.8416666669999997,20150124,강북구
4.066666667,20150125,강북구
2.5,20150126,강북구
-4.004166667,20150127,강북구
-2.2791666669999997,20150128,강북구
0.004166667,20150129,강북구
-3.35,20150130,강북구
-3.133333333,20150131,강북구
-6.604166667,20150101,도봉구
-4.966666667,20150102,도봉구
0.041666667000000004,20150103,도봉구
2.045833333,20150104,도봉구
4.3125,20150105,도봉구
-4.075,20150106,도봉구
-4.475,20150107,도봉구
-3.7875,20150108,도봉구
-0.7875,20150109,도봉구
2.291666667,20150110,도봉구
-1.279166667,20150111,도봉구
-1.6875,20150112,도봉구
1.4583333330000001,20150113,도봉구
3.125,20150114,도봉구
3.975,20150115,도봉구
-0.541666667,20150116,도봉구
-2.808333333,20150117,도봉구
0.9541666670000001,20150118,도봉구
-1.220833333,20150119,도봉구
0.6958333329999999,20150120,도봉구
3.308333333,20150121,도봉구
2.608333333,20150122,도봉구
2.570833333,20150123,도봉구
3.8416666669999997,20150124,도봉구
4.066666667,20150125,도봉구
2.5,20150126,도봉구
-4.004166667,20150127,도봉구
-2.2791666669999997,20150128,도봉구
0.004166667,20150129,도봉구
-3.35,20150130,도봉구
-3.133333333,20150131,도봉구
-6.604166667,20150101,노원구
-4.966666667,20150102,노원구
0.041666667000000004,20150103,노원구
2.045833333,20150104,노원구
4.3125,20150105,노원구
-4.075,20150106,노원구
-4.475,20150107,노원구
-3.7875,20150108,노원구
-0.7875,20150109,노원구
2.291666667,20150110,노원구
-1.279166667,20150111,노원구
-1.6875,20150112,노원구
1.4583333330000001,20150113,노원구
3.125,20150114,노원구
3.975,20150115,노원구
-0.541666667,20150116,노원구
-2.808333333,20150117,노원구
0.9541666670000001,20150118,노원구
-1.220833333,20150119,노원구
0.6958333329999999,20150120,노원구
3.308333333,20150121,노원구
2.608333333,20150122,노원구
2.570833333,20150123,노원구
3.8416666669999997,20150124,노원구
4.066666667,20150125,노원구
2.5,20150126,노원구
-4.004166667,20150127,노원구
-2.2791666669999997,20150128,노원구
0.004166667,20150129,노원구
-3.35,20150130,노원구
-3.133333333,20150131,노원구
-7.7375,20150101,은평구
-6.291666667,20150102,은평구
-0.195833333,20150103,은평구
2.329166667,20150104,은평구
3.504166667,20150105,은평구
-5.691666667000001,20150106,은평구
-5.9875,20150107,은평구
-4.854166667,20150108,은평구
-1.920833333,20150109,은평구
1.170833333,20150110,은평구
-2.8,20150111,은평구
-2.254166667,20150112,은평구
1.291666667,20150113,은평구
1.9166666669999999,20150114,은평구
2.429166667,20150115,은평구
-1.516666667,20150116,은평구
-3.9125,20150117,은평구
0.22083333300000002,20150118,은평구
-2.229166667,20150119,은평구
0.441666667,20150120,은평구
2.429166667,20150121,은평구
2.05,20150122,은평구
1.7541666669999998,20150123,은평구
3.195833333,20150124,은평구
3.475,20150125,은평구
1.3125,20150126,은평구
-5.466666667,20150127,은평구
-3.070833333,20150128,은평구
-1.2125,20150129,은평구
-4.829166667,20150130,은평구
-4.675,20150131,은평구
-7.533333333,20150101,서대문구
-6.0,20150102,서대문구
0.025,20150103,서대문구
2.225,20150104,서대문구
3.879166667,20150105,서대문구
-5.5541666670000005,20150106,서대문구
-5.391666667000001,20150107,서대문구
-4.254166667,20150108,서대문구
-1.6458333330000001,20150109,서대문구
1.533333333,20150110,서대문구
-2.391666667,20150111,서대문구
-2.116666667,20150112,서대문구
1.5125,20150113,서대문구
2.6,20150114,서대문구
3.2125,20150115,서대문구
-1.3875,20150116,서대문구
-3.7375,20150117,서대문구
0.504166667,20150118,서대문구
-1.9916666669999998,20150119,서대문구
0.754166667,20150120,서대문구
3.054166667,20150121,서대문구
2.441666667,20150122,서대문구
2.045833333,20150123,서대문구
3.575,20150124,서대문구
3.733333333,20150125,서대문구
1.6458333330000001,20150126,서대문구
-5.170833333,20150127,서대문구
-2.5958333330000003,20150128,서대문구
-0.933333333,20150129,서대문구
-4.45,20150130,서대문구
-4.158333333,20150131,서대문구
-6.358333332999999,20150101,마포구
-4.608333333,20150102,마포구
0.7958333329999999,20150103,마포구
2.804166667,20150104,마포구
4.208333333,20150105,마포구
-4.425,20150106,마포구
-4.345833333,20150107,마포구
-2.975,20150108,마포구
-0.40416666700000003,20150109,마포구
2.520833333,20150110,마포구
-1.5625,20150111,마포구
-1.075,20150112,마포구
1.9458333330000002,20150113,마포구
2.879166667,20150114,마포구
3.604166667,20150115,마포구
-0.3,20150116,마포구
-2.375,20150117,마포구
1.5125,20150118,마포구
-0.5541666670000001,20150119,마포구
1.4458333330000002,20150120,마포구
3.304166667,20150121,마포구
3.145833333,20150122,마포구
3.2166666669999997,20150123,마포구
4.5,20150124,마포구
4.275,20150125,마포구
2.204166667,20150126,마포구
-4.404166667,20150127,마포구
-1.8208333330000002,20150128,마포구
-0.083333333,20150129,마포구
-3.304166667,20150130,마포구
-3.375,20150131,마포구
-6.370833332999999,20150101,양천구
-4.8125,20150102,양천구
0.825,20150103,양천구
3.083333333,20150104,양천구
4.583333333,20150105,양천구
-4.370833333,20150106,양천구
-4.3125,20150107,양천구
-2.95,20150108,양천구
-0.5708333329999999,20150109,양천구
2.129166667,20150110,양천구
-1.329166667,20150111,양천구
-1.2,20150112,양천구
2.229166667,20150113,양천구
3.054166667,20150114,양천구
3.604166667,20150115,양천구
-0.35,20150116,양천구
-2.445833333,20150117,양천구
1.316666667,20150118,양천구
-0.6708333329999999,20150119,양천구
1.279166667,20150120,양천구
3.579166667,20150121,양천구
2.9375,20150122,양천구
2.670833333,20150123,양천구
4.4375,20150124,양천구
4.245833333,20150125,양천구
2.320833333,20150126,양천구
-4.470833333,20150127,양천구
-2.116666667,20150128,양천구
-0.2625,20150129,양천구
-3.183333333,20150130,양천구
-3.429166667,20150131,양천구
-6.370833332999999,20150101,강서구
-4.8125,20150102,강서구
0.825,20150103,강서구
3.083333333,20150104,강서구
4.583333333,20150105,강서구
-4.370833333,20150106,강서구
-4.3125,20150107,강서구
-2.95,20150108,강서구
-0.5708333329999999,20150109,강서구
2.129166667,20150110,강서구
-1.329166667,20150111,강서구
-1.2,20150112,강서구
2.229166667,20150113,강서구
3.054166667,20150114,강서구
3.604166667,20150115,강서구
-0.35,20150116,강서구
-2.445833333,20150117,강서구
1.316666667,20150118,강서구
-0.6708333329999999,20150119,강서구
1.279166667,20150120,강서구
3.579166667,20150121,강서구
2.9375,20150122,강서구
2.670833333,20150123,강서구
4.4375,20150124,강서구
4.245833333,20150125,강서구
2.320833333,20150126,강서구
-4.470833333,20150127,강서구
-2.116666667,20150128,강서구
-0.2625,20150129,강서구
-3.183333333,20150130,강서구
-3.429166667,20150131,강서구
-7.5083333329999995,20150101,구로구
-5.6625,20150102,구로구
0.1375,20150103,구로구
2.704166667,20150104,구로구
4.454166667,20150105,구로구
-5.125,20150106,구로구
-5.175,20150107,구로구
-3.745833333,20150108,구로구
-1.316666667,20150109,구로구
1.766666667,20150110,구로구
-1.8375,20150111,구로구
-1.8333333330000001,20150112,구로구
2.075,20150113,구로구
3.229166667,20150114,구로구
2.6,20150115,구로구
-1.104166667,20150116,구로구
-3.475,20150117,구로구
0.8291666670000001,20150118,구로구
-0.9,20150119,구로구
1.075,20150120,구로구
2.9083333330000003,20150121,구로구
2.7833333330000003,20150122,구로구
1.220833333,20150123,구로구
3.254166667,20150124,구로구
3.333333333,20150125,구로구
1.5625,20150126,구로구
-4.9875,20150127,구로구
-2.195833333,20150128,구로구
-0.504166667,20150129,구로구
-3.616666667,20150130,구로구
-3.941666667,20150131,구로구
-7.5083333329999995,20150101,금천구
-5.6625,20150102,금천구
0.1375,20150103,금천구
2.704166667,20150104,금천구
4.454166667,20150105,금천구
-5.125,20150106,금천구
-5.175,20150107,금천구
-3.745833333,20150108,금천구
-1.316666667,20150109,금천구
1.766666667,20150110,금천구
-1.8375,20150111,금천구
-1.8333333330000001,20150112,금천구
2.075,20150113,금천구
3.229166667,20150114,금천구
2.6,20150115,금천구
-1.104166667,20150116,금천구
-3.475,20150117,금천구
0.8291666670000001,20150118,금천구
-0.9,20150119,금천구
1.075,20150120,금천구
2.9083333330000003,20150121,금천구
2.7833333330000003,20150122,금천구
1.220833333,20150123,금천구
3.254166667,20150124,금천구
3.333333333,20150125,금천구
1.5625,20150126,금천구
-4.9875,20150127,금천구
-2.195833333,20150128,금천구
-0.504166667,20150129,금천구
-3.616666667,20150130,금천구
-3.941666667,20150131,금천구
-6.358333332999999,20150101,영등포구
-4.608333333,20150102,영등포구
0.7958333329999999,20150103,영등포구
2.804166667,20150104,영등포구
4.208333333,20150105,영등포구
-4.425,20150106,영등포구
-4.345833333,20150107,영등포구
-2.975,20150108,영등포구
-0.40416666700000003,20150109,영등포구
2.520833333,20150110,영등포구
-1.5625,20150111,영등포구
-1.075,20150112,영등포구
1.9458333330000002,20150113,영등포구
2.879166667,20150114,영등포구
3.604166667,20150115,영등포구
-0.3,20150116,영등포구
-2.375,20150117,영등포구
1.5125,20150118,영등포구
-0.5541666670000001,20150119,영등포구
1.4458333330000002,20150120,영등포구
3.304166667,20150121,영등포구
3.145833333,20150122,영등포구
3.2166666669999997,20150123,영등포구
4.5,20150124,영등포구
4.275,20150125,영등포구
2.204166667,20150126,영등포구
-4.404166667,20150127,영등포구
-1.8208333330000002,20150128,영등포구
-0.083333333,20150129,영등포구
-3.304166667,20150130,영등포구
-3.375,20150131,영등포구
-6.1,20150101,동작구
-4.666666667,20150102,동작구
0.958333333,20150103,동작구
3.325,20150104,동작구
4.716666667,20150105,동작구
-4.175,20150106,동작구
-4.0875,20150107,동작구
-2.9125,20150108,동작구
-0.166666667,20150109,동작구
2.320833333,20150110,동작구
-1.091666667,20150111,동작구
-0.966666667,20150112,동작구
2.683333333,20150113,동작구
3.629166667,20150114,동작구
3.645833333,20150115,동작구
-0.170833333,20150116,동작구
-2.2625,20150117,동작구
1.529166667,20150118,동작구
-0.45,20150119,동작구
1.654166667,20150120,동작구
3.9041666669999997,20150121,동작구
3.4875,20150122,동작구
2.875,20150123,동작구
4.5625,20150124,동작구
4.429166667,20150125,동작구
2.65,20150126,동작구
-4.029166667,20150127,동작구
-1.6458333330000001,20150128,동작구
0.275,20150129,동작구
-2.929166667,20150130,동작구
-3.208333333,20150131,동작구
-6.1,20150101,관악구
-4.666666667,20150102,관악구
0.958333333,20150103,관악구
3.325,20150104,관악구
4.716666667,20150105,관악구
-4.175,20150106,관악구
-4.0875,20150107,관악구
-2.9125,20150108,관악구
-0.166666667,20150109,관악구
2.320833333,20150110,관악구
-1.091666667,20150111,관악구
-0.966666667,20150112,관악구
2.683333333,20150113,관악구
3.629166667,20150114,관악구
3.645833333,20150115,관악구
-0.170833333,20150116,관악구
-2.2625,20150117,관악구
