,,,,,,,,,,,단위 : 동
구분,구분,구분,합계,10년미만,10~15년미만,15~20년미만,20~25년미만,25~30년미만,30~35년미만,35년이상,기타
서울특별시,구로구,궁동,  32 ,  11 ,  7 ,  3 ,  5 ,  1 ,  3 ,  2 ,  - 
서울특별시,구로구,신도림동,  19 ,  6 ,  2 ,  6 ,  - ,  1 ,  3 ,  1 ,  - 
서울특별시,구로구,오류동,  71 ,  13 ,  12 ,  5 ,  8 ,  5 ,  5 ,  6 ,  17 
서울특별시,구로구,온수동,  9 ,  1 ,  1 ,  - ,  1 ,  2 ,  2 ,  2 ,  - 
서울특별시,구로구,천왕동,  10 ,  9 ,  - ,  - ,  - ,  - ,  - ,  1 ,  - 
서울특별시,구로구,항동,  11 ,  4 ,  - ,  1 ,  - ,  - ,  1 ,  5 ,  - 
서울특별시,금천구,가산동,  54 ,  11 ,  11 ,  9 ,  5 ,  3 ,  5 ,  8 ,  2 
서울특별시,금천구,독산동,  155 ,  31 ,  20 ,  18 ,  24 ,  14 ,  16 ,  26 ,  6 
서울특별시,금천구,시흥동,  177 ,  21 ,  29 ,  24 ,  31 ,  12 ,  25 ,  32 ,  3 
서울특별시,노원구,공릉동,  291 ,  40 ,  38 ,  42 ,  31 ,  13 ,  24 ,  96 ,  7 
서울특별시,노원구,상계동,  232 ,  31 ,  41 ,  37 ,  59 ,  44 ,  12 ,  8 ,  - 
서울특별시,노원구,월계동,  110 ,  18 ,  19 ,  26 ,  24 ,  4 ,  5 ,  14 ,  - 
서울특별시,노원구,중계동,  127 ,  21 ,  25 ,  23 ,  33 ,  16 ,  5 ,  4 ,  - 
서울특별시,노원구,하계동,  72 ,  12 ,  15 ,  14 ,  17 ,  2 ,  6 ,  5 ,  1 
서울특별시,도봉구,도봉동,  86 ,  17 ,  13 ,  16 ,  15 ,  4 ,  5 ,  11 ,  5 
서울특별시,도봉구,방학동,  88 ,  12 ,  22 ,  18 ,  17 ,  4 ,  8 ,  2 ,  5 
서울특별시,도봉구,쌍문동,  143 ,  22 ,  26 ,  32 ,  16 ,  15 ,  7 ,  20 ,  5 
서울특별시,도봉구,창동,  131 ,  29 ,  25 ,  24 ,  24 ,  11 ,  8 ,  9 ,  1 
서울특별시,동대문구,답십리동,  54 ,  7 ,  7 ,  11 ,  8 ,  7 ,  4 ,  10 ,  - 
서울특별시,동대문구,신설동,  26 ,  3 ,  3 ,  3 ,  1 ,  1 ,  1 ,  13 ,  1 
서울특별시,동대문구,용두동,  31 ,  5 ,  5 ,  4 ,  3 ,  2 ,  5 ,  6 ,  1 
서울특별시,동대문구,이문동,  69 ,  20 ,  10 ,  7 ,  11 ,  2 ,  2 ,  17 ,  - 
서울특별시,동대문구,장안동,  87 ,  19 ,  10 ,  9 ,  11 ,  13 ,  13 ,  11 ,  1 
서울특별시,동대문구,전농동,  107 ,  24 ,  12 ,  8 ,  6 ,  7 ,  6 ,  25 ,  19 
서울특별시,동대문구,제기동,  48 ,  10 ,  6 ,  8 ,  3 ,  1 ,  6 ,  11 ,  3 
서울특별시,동대문구,청량리동,  75 ,  3 ,  7 ,  21 ,  12 ,  4 ,  5 ,  15 ,  8 
서울특별시,동대문구,회기동,  94 ,  12 ,  19 ,  13 ,  7 ,  5 ,  14 ,  19 ,  5 
서울특별시,동대문구,휘경동,  63 ,  17 ,  7 ,  8 ,  7 ,  7 ,  4 ,  11 ,  2 
서울특별시,동작구,노량진동,  89 ,  6 ,  22 ,  15 ,  16 ,  6 ,  8 ,  14 ,  2 
서울특별시,동작구,대방동,  91 ,  9 ,  9 ,  17 ,  26 ,  3 ,  8 ,  7 ,  12 
서울특별시,동작구,동작동,  28 ,  10 ,  6 ,  2 ,  2 ,  3 ,  - ,  2 ,  3 
서울특별시,동작구,본동,  19 ,  2 ,  3 ,  1 ,  2 ,  2 ,  2 ,  4 ,  3 
서울특별시,동작구,사당동,  103 ,  21 ,  16 ,  18 ,  11 ,  5 ,  10 ,  19 ,  3 
