,,,,,,,,,,,단위 : 동
구분,구분,구분,합계,10년미만,10~15년미만,15~20년미만,20~25년미만,25~30년미만,30~35년미만,35년이상,기타
서울특별시,구로구,온수동,  7 ,  - ,  2 ,  1 ,  - ,  - ,  - ,  4 ,  - 
서울특별시,구로구,천왕동,  1 ,  1 ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
서울특별시,구로구,항동,  2 ,  - ,  - ,  - ,  1 ,  - ,  - ,  - ,  1 
서울특별시,금천구,가산동,  39 ,  3 ,  2 ,  5 ,  6 ,  1 ,  5 ,  17 ,  - 
서울특별시,금천구,독산동,  48 ,  3 ,  1 ,  1 ,  1 ,  3 ,  7 ,  30 ,  2 
서울특별시,금천구,시흥동,  30 ,  3 ,  3 ,  1 ,  4 ,  3 ,  1 ,  14 ,  1 
서울특별시,노원구,공릉동,  12 ,  1 ,  - ,  4 ,  1 ,  - ,  1 ,  5 ,  - 
서울특별시,노원구,상계동,  22 ,  7 ,  5 ,  - ,  5 ,  2 ,  1 ,  1 ,  1 
서울특별시,노원구,월계동,  10 ,  1 ,  - ,  - ,  2 ,  1 ,  1 ,  5 ,  - 
서울특별시,노원구,중계동,  3 ,  - ,  - ,  - ,  3 ,  - ,  - ,  - ,  - 
서울특별시,노원구,하계동,  5 ,  - ,  - ,  3 ,  1 ,  - ,  1 ,  - ,  - 
서울특별시,도봉구,도봉동,  11 ,  1 ,  - ,  3 ,  1 ,  - ,  3 ,  3 ,  - 
서울특별시,도봉구,방학동,  8 ,  1 ,  - ,  2 ,  1 ,  - ,  2 ,  1 ,  1 
서울특별시,도봉구,쌍문동,  14 ,  3 ,  1 ,  3 ,  4 ,  1 ,  - ,  2 ,  - 
서울특별시,도봉구,창동,  73 ,  4 ,  4 ,  1 ,  44 ,  11 ,  3 ,  5 ,  1 
서울특별시,동대문구,답십리동,  17 ,  2 ,  2 ,  2 ,  - ,  1 ,  2 ,  8 ,  - 
서울특별시,동대문구,신설동,  6 ,  - ,  - ,  2 ,  1 ,  - ,  - ,  3 ,  - 
서울특별시,동대문구,용두동,  13 ,  5 ,  2 ,  1 ,  - ,  1 ,  - ,  4 ,  - 
서울특별시,동대문구,이문동,  8 ,  - ,  - ,  7 ,  - ,  - ,  - ,  1 ,  - 
서울특별시,동대문구,장안동,  15 ,  2 ,  1 ,  3 ,  2 ,  - ,  3 ,  4 ,  - 
서울특별시,동대문구,전농동,  10 ,  - ,  2 ,  - ,  - ,  5 ,  - ,  2 ,  1 
서울특별시,동대문구,제기동,  24 ,  4 ,  3 ,  1 ,  - ,  1 ,  2 ,  9 ,  4 
서울특별시,동대문구,청량리동,  10 ,  1 ,  1 ,  - ,  1 ,  - ,  1 ,  4 ,  2 
서울특별시,동대문구,회기동,  2 ,  - ,  - ,  - ,  1 ,  - ,  - ,  1 ,  - 
서울특별시,동대문구,휘경동,  10 ,  - ,  - ,  3 ,  1 ,  1 ,  1 ,  3 ,  1 
서울특별시,동작구,노량진동,  11 ,  1 ,  - ,  - ,  - ,  1 ,  1 ,  5 ,  3 
서울특별시,동작구,대방동,  12 ,  1 ,  2 ,  2 ,  - ,  3 ,  1 ,  1 ,  2 
서울특별시,동작구,동작동,  1 ,  1 ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
서울특별시,동작구,본동,  2 ,  - ,  - ,  - ,  - ,  - ,  - ,  1 ,  1 
서울특별시,동작구,사당동,  8 ,  1 ,  3 ,  - ,  1 ,  2 ,  - ,  1 ,  - 
서울특별시,동작구,상도1동,  6 ,  - ,  - ,  - ,  - ,  - ,  - ,  4 ,  2 
서울특별시,동작구,상도동,  4 ,  1 ,  - ,  - ,  - ,  - ,  - ,  1 ,  2 
서울특별시,동작구,신대방동,  5 ,  - ,  - ,  - ,  2 ,  2 ,  1 ,  - ,  - 
서울특별시,동작구,흑석동,  7 ,  - ,  - ,  - ,  - ,  1 ,  1 ,  3 ,  2 
서울특별시,마포구,공덕동,  7 ,  1 ,  - ,  - ,  - ,  - ,  - ,  6 ,  - 
서울특별시,마포구,구수동,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
서울특별시,마포구,노고산동,  1 ,  - ,  - ,  - ,  - ,  - ,  - ,  1 ,  - 
서울특별시,마포구,당인동,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
서울특별시,마포구,대흥동,  5 ,  - ,  - ,  - ,  - ,  - ,  - ,  5 ,  - 
서울특별시,마포구,도화동,  6 ,  - ,  - ,  - ,  1 ,  - ,  - ,  5 ,  - 
서울특별시,마포구,동교동,  2 ,  - ,  - ,  2 ,  - ,  - ,  - ,  - ,  - 
서울특별시,마포구,마포동,  4 ,  1 ,  - ,  - ,  - ,  - ,  - ,  2 ,  1 
서울특별시,마포구,망원동,  2 ,  1 ,  - ,  - ,  - ,  - ,  - ,  1 ,  - 
서울특별시,마포구,상수동,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
서울특별시,마포구,상암동,  5 ,  1 ,  2 ,  - ,  - ,  - ,  - ,  1 ,  1 
서울특별시,마포구,서교동,  7 ,  - ,  1 ,  - ,  - ,  - ,  - ,  5 ,  1 
서울특별시,마포구,성산동,  9 ,  - ,  2 ,  1 ,  - ,  - ,  - ,  5 ,  1 
서울특별시,마포구,신공덕동,  4 ,  2 ,  - ,  - ,  - ,  - ,  - ,  2 ,  - 
서울특별시,마포구,신수동,  3 ,  - ,  - ,  - ,  - ,  - ,  - ,  3 ,  - 
