습도,날짜,자치구
68.25,20160101,종로구
78.41666667,20160102,종로구
76.29166667,20160103,종로구
45.04166667,20160104,종로구
44.04166667,20160105,종로구
59.0,20160106,종로구
50.70833333,20160107,종로구
52.41666667,20160108,종로구
58.95833333,20160109,종로구
44.0,20160110,종로구
42.29166667,20160111,종로구
50.16666667,20160112,종로구
57.20833333,20160113,종로구
60.0,20160114,종로구
50.45833333,20160115,종로구
68.25,20160116,종로구
68.83333333,20160117,종로구
50.75,20160118,종로구
46.16666667,20160119,종로구
46.625,20160120,종로구
44.08333333,20160121,종로구
39.625,20160122,종로구
44.29166667,20160123,종로구
49.41666667,20160124,종로구
53.08333333,20160125,종로구
66.41666667,20160126,종로구
58.66666667,20160127,종로구
44.125,20160128,종로구
52.83333333,20160129,종로구
54.91666667,20160130,종로구
37.79166667,20160131,종로구
68.25,20160101,중구
78.41666667,20160102,중구
76.29166667,20160103,중구
45.04166667,20160104,중구
44.04166667,20160105,중구
59.0,20160106,중구
50.70833333,20160107,중구
52.41666667,20160108,중구
58.95833333,20160109,중구
44.0,20160110,중구
42.29166667,20160111,중구
50.16666667,20160112,중구
57.20833333,20160113,중구
60.0,20160114,중구
50.45833333,20160115,중구
68.25,20160116,중구
68.83333333,20160117,중구
50.75,20160118,중구
46.16666667,20160119,중구
46.625,20160120,중구
44.08333333,20160121,중구
39.625,20160122,중구
44.29166667,20160123,중구
49.41666667,20160124,중구
53.08333333,20160125,중구
66.41666667,20160126,중구
58.66666667,20160127,중구
44.125,20160128,중구
52.83333333,20160129,중구
54.91666667,20160130,중구
37.79166667,20160131,중구
69.95833333,20160101,용산구
77.58333333,20160102,용산구
76.125,20160103,용산구
47.41666667,20160104,용산구
44.875,20160105,용산구
57.79166667,20160106,용산구
50.625,20160107,용산구
52.79166667,20160108,용산구
58.54166667,20160109,용산구
42.29166667,20160110,용산구
40.54166667,20160111,용산구
49.0,20160112,용산구
58.70833333,20160113,용산구
59.0,20160114,용산구
52.75,20160115,용산구
68.20833333,20160116,용산구
67.79166667,20160117,용산구
48.83333333,20160118,용산구
45.29166667,20160119,용산구
45.83333333,20160120,용산구
44.91666667,20160121,용산구
39.29166667,20160122,용산구
43.125,20160123,용산구
46.75,20160124,용산구
