,,,,,,,,,,,단위 : 동
구분,구분,구분,합계,10년미만,10~15년미만,15~20년미만,20~25년미만,25~30년미만,30~35년미만,35년이상,기타
서울특별시,강남구,개포동,  494 ,  18 ,  52 ,  25 ,  132 ,  218 ,  47 ,  - ,  2 
서울특별시,강남구,논현동,"  1,875 ",  237 ,  310 ,  119 ,  280 ,  437 ,  234 ,  255 ,  3 
서울특별시,강남구,대치동,  853 ,  107 ,  176 ,  77 ,  138 ,  179 ,  90 ,  84 ,  2 
서울특별시,강남구,도곡동,  481 ,  42 ,  67 ,  44 ,  123 ,  146 ,  33 ,  26 ,  - 
서울특별시,강남구,삼성동,  946 ,  121 ,  170 ,  56 ,  186 ,  197 ,  103 ,  106 ,  7 
서울특별시,강남구,세곡동,  46 ,  20 ,  4 ,  3 ,  5 ,  - ,  4 ,  9 ,  1 
서울특별시,강남구,수서동,  82 ,  6 ,  13 ,  12 ,  32 ,  17 ,  - ,  2 ,  - 
서울특별시,강남구,신사동,"  1,511 ",  145 ,  309 ,  124 ,  229 ,  319 ,  200 ,  184 ,  1 
서울특별시,강남구,압구정동,  25 ,  1 ,  - ,  1 ,  1 ,  - ,  9 ,  13 ,  - 
서울특별시,강남구,역삼동,"  2,141 ",  306 ,  404 ,  150 ,  366 ,  539 ,  213 ,  159 ,  4 
서울특별시,강남구,율현동,  15 ,  7 ,  3 ,  2 ,  - ,  2 ,  - ,  1 ,  - 
서울특별시,강남구,일원동,  147 ,  5 ,  6 ,  3 ,  29 ,  72 ,  30 ,  1 ,  1 
서울특별시,강남구,자곡동,  40 ,  22 ,  7 ,  2 ,  1 ,  3 ,  1 ,  3 ,  1 
서울특별시,강남구,청담동,  881 ,  150 ,  162 ,  77 ,  125 ,  164 ,  85 ,  113 ,  5 
서울특별시,강동구,강일동,  47 ,  36 ,  3 ,  - ,  6 ,  - ,  1 ,  1 ,  - 
서울특별시,강동구,고덕동,  104 ,  7 ,  4 ,  3 ,  10 ,  47 ,  31 ,  2 ,  - 
서울특별시,강동구,길동,  399 ,  35 ,  45 ,  21 ,  76 ,  92 ,  88 ,  41 ,  1 
서울특별시,강동구,둔촌동,  233 ,  39 ,  23 ,  26 ,  38 ,  51 ,  32 ,  23 ,  1 
서울특별시,강동구,명일동,  248 ,  14 ,  19 ,  16 ,  51 ,  48 ,  72 ,  28 ,  - 
서울특별시,강동구,상일동,  115 ,  14 ,  14 ,  6 ,  8 ,  38 ,  31 ,  3 ,  1 
서울특별시,강동구,성내동,  783 ,  47 ,  102 ,  48 ,  101 ,  172 ,  162 ,  143 ,  8 
서울특별시,강동구,암사동,  393 ,  32 ,  33 ,  25 ,  45 ,  72 ,  76 ,  104 ,  6 
서울특별시,강동구,천호동,"  1,014 ",  38 ,  85 ,  51 ,  129 ,  125 ,  148 ,  410 ,  28 
서울특별시,강북구,미아동,"  1,460 ",  103 ,  81 ,  73 ,  190 ,  220 ,  219 ,  572 ,  2 
서울특별시,강북구,번동,  482 ,  64 ,  54 ,  44 ,  90 ,  104 ,  34 ,  92 ,  - 
서울특별시,강북구,수유동,"  1,532 ",  126 ,  93 ,  75 ,  212 ,  285 ,  235 ,  505 ,  1 
서울특별시,강북구,우이동,  187 ,  27 ,  18 ,  14 ,  9 ,  14 ,  32 ,  69 ,  4 
서울특별시,강서구,가양동,  185 ,  25 ,  25 ,  26 ,  66 ,  8 ,  13 ,  20 ,  2 
