,,,,,,,,,,,단위 : 동
구분,구분,구분,합계,10년미만,10~15년미만,15~20년미만,20~25년미만,25~30년미만,30~35년미만,35년이상,기타
서울특별시,강남구,개포동,  87 ,  4 ,  7 ,  4 ,  17 ,  27 ,  16 ,  4 ,  8 
서울특별시,강남구,논현동,  75 ,  7 ,  12 ,  6 ,  12 ,  14 ,  13 ,  11 ,  - 
서울특별시,강남구,대치동,  176 ,  25 ,  24 ,  15 ,  33 ,  32 ,  25 ,  18 ,  4 
서울특별시,강남구,도곡동,  46 ,  3 ,  9 ,  6 ,  8 ,  6 ,  4 ,  7 ,  3 
서울특별시,강남구,삼성동,  84 ,  14 ,  5 ,  8 ,  21 ,  11 ,  12 ,  11 ,  2 
서울특별시,강남구,세곡동,  20 ,  11 ,  - ,  - ,  - ,  1 ,  - ,  - ,  8 
서울특별시,강남구,수서동,  41 ,  3 ,  4 ,  3 ,  23 ,  6 ,  1 ,  - ,  1 
서울특별시,강남구,신사동,  85 ,  7 ,  17 ,  12 ,  13 ,  20 ,  4 ,  12 ,  - 
서울특별시,강남구,압구정동,  14 ,  - ,  - ,  2 ,  6 ,  - ,  3 ,  2 ,  1 
서울특별시,강남구,역삼동,  120 ,  20 ,  21 ,  15 ,  14 ,  13 ,  18 ,  19 ,  - 
서울특별시,강남구,율현동,  11 ,  4 ,  4 ,  - ,  - ,  2 ,  1 ,  - ,  - 
서울특별시,강남구,일원동,  50 ,  4 ,  2 ,  2 ,  17 ,  9 ,  12 ,  - ,  4 
서울특별시,강남구,자곡동,  10 ,  8 ,  - ,  - ,  - ,  2 ,  - ,  - ,  - 
서울특별시,강남구,청담동,  49 ,  7 ,  10 ,  5 ,  8 ,  7 ,  3 ,  9 ,  - 
서울특별시,강동구,강일동,  20 ,  19 ,  - ,  - ,  1 ,  - ,  - ,  - ,  - 
서울특별시,강동구,고덕동,  51 ,  7 ,  3 ,  3 ,  5 ,  8 ,  15 ,  10 ,  - 
서울특별시,강동구,길동,  59 ,  9 ,  7 ,  4 ,  13 ,  8 ,  8 ,  9 ,  1 
서울특별시,강동구,둔촌동,  62 ,  10 ,  9 ,  10 ,  5 ,  8 ,  10 ,  10 ,  - 
서울특별시,강동구,명일동,  48 ,  8 ,  11 ,  4 ,  5 ,  9 ,  9 ,  2 ,  - 
서울특별시,강동구,상일동,  47 ,  9 ,  3 ,  1 ,  3 ,  9 ,  17 ,  5 ,  - 
서울특별시,강동구,성내동,  85 ,  12 ,  16 ,  9 ,  14 ,  15 ,  13 ,  5 ,  1 
서울특별시,강동구,암사동,  69 ,  15 ,  4 ,  12 ,  15 ,  7 ,  8 ,  7 ,  1 
서울특별시,강동구,천호동,  93 ,  23 ,  8 ,  7 ,  13 ,  5 ,  15 ,  20 ,  2 
서울특별시,강북구,미아동,  199 ,  35 ,  24 ,  26 ,  35 ,  13 ,  15 ,  51 ,  - 
서울특별시,강북구,번동,  64 ,  11 ,  16 ,  10 ,  15 ,  7 ,  3 ,  1 ,  1 
서울특별시,강북구,수유동,  202 ,  21 ,  32 ,  25 ,  42 ,  26 ,  15 ,  41 ,  - 
서울특별시,강북구,우이동,  27 ,  2 ,  4 ,  8 ,  2 ,  3 ,  2 ,  6 ,  - 
서울특별시,강서구,가양동,  62 ,  9 ,  13 ,  9 ,  16 ,  11 ,  - ,  3 ,  1 
서울특별시,강서구,개화동,  12 ,  5 ,  1 ,  1 ,  1 ,  - ,  1 ,  3 ,  - 
서울특별시,강서구,공항동,  36 ,  4 ,  11 ,  6 ,  - ,  6 ,  4 ,  4 ,  1 
서울특별시,강서구,과해동,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
서울특별시,강서구,내발산동,  72 ,  27 ,  10 ,  6 ,  5 ,  7 ,  11 ,  6 ,  - 
서울특별시,강서구,등촌동,  130 ,  27 ,  22 ,  19 ,  37 ,  4 ,  11 ,  10 ,  - 
서울특별시,강서구,마곡동,  25 ,  14 ,  4 ,  1 ,  1 ,  4 ,  1 ,  - ,  - 
서울특별시,강서구,방화동,  101 ,  16 ,  16 ,  12 ,  29 ,  9 ,  5 ,  12 ,  2 
서울특별시,강서구,염창동,  30 ,  1 ,  7 ,  9 ,  7 ,  2 ,  2 ,  2 ,  - 
서울특별시,강서구,오곡동,  1 ,  - ,  - ,  - ,  - ,  - ,  - ,  1 ,  - 
서울특별시,강서구,오쇠동,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
서울특별시,강서구,외발산동,  5 ,  1 ,  2 ,  - ,  - ,  1 ,  1 ,  - ,  - 
서울특별시,강서구,화곡동,  259 ,  43 ,  44 ,  28 ,  39 ,  40 ,  32 ,  32 ,  1 
서울특별시,관악구,남현동,  22 ,  2 ,  4 ,  4 ,  3 ,  - ,  2 ,  7 ,  - 
서울특별시,관악구,봉천동,  317 ,  42 ,  63 ,  57 ,  36 ,  26 ,  31 ,  60 ,  2 
서울특별시,관악구,신림동,  521 ,  89 ,  74 ,  128 ,  72 ,  46 ,  50 ,  60 ,  2 
