,,,,,,,,,,,단위 : 동
구분,구분,구분,합계,10년미만,10~15년미만,15~20년미만,20~25년미만,25~30년미만,30~35년미만,35년이상,기타
서울특별시,강남구,개포동,  481 ,  13 ,  43 ,  25 ,  45 ,  281 ,  52 ,  20 ,  2 
서울특별시,강남구,논현동,"  1,897 ",  231 ,  252 ,  184 ,  179 ,  469 ,  272 ,  307 ,  3 
서울특별시,강남구,대치동,  842 ,  90 ,  133 ,  108 ,  105 ,  203 ,  88 ,  113 ,  2 
서울특별시,강남구,도곡동,  484 ,  31 ,  54 ,  52 ,  80 ,  176 ,  53 ,  38 ,  - 
서울특별시,강남구,삼성동,  948 ,  109 ,  144 ,  87 ,  103 ,  251 ,  122 ,  127 ,  5 
서울특별시,강남구,세곡동,  58 ,  32 ,  2 ,  2 ,  4 ,  3 ,  3 ,  11 ,  1 
서울특별시,강남구,수서동,  88 ,  10 ,  6 ,  13 ,  28 ,  14 ,  15 ,  2 ,  - 
서울특별시,강남구,신사동,"  1,539 ",  136 ,  217 ,  201 ,  190 ,  339 ,  205 ,  251 ,  - 
서울특별시,강남구,압구정동,  25 ,  1 ,  - ,  - ,  2 ,  - ,  4 ,  18 ,  - 
서울특별시,강남구,역삼동,"  2,143 ",  279 ,  310 ,  254 ,  231 ,  580 ,  277 ,  208 ,  4 
서울특별시,강남구,율현동,  24 ,  15 ,  2 ,  4 ,  - ,  2 ,  - ,  1 ,  - 
서울특별시,강남구,일원동,  146 ,  4 ,  5 ,  3 ,  10 ,  73 ,  43 ,  7 ,  1 
서울특별시,강남구,자곡동,  47 ,  29 ,  3 ,  5 ,  2 ,  - ,  3 ,  4 ,  1 
서울특별시,강남구,청담동,  902 ,  151 ,  127 ,  116 ,  94 ,  180 ,  95 ,  134 ,  5 
서울특별시,강동구,강일동,  53 ,  42 ,  2 ,  1 ,  6 ,  - ,  - ,  2 ,  - 
서울특별시,강동구,고덕동,  97 ,  11 ,  2 ,  5 ,  8 ,  19 ,  50 ,  2 ,  - 
서울특별시,강동구,길동,  393 ,  30 ,  36 ,  25 ,  50 ,  96 ,  80 ,  75 ,  1 
서울특별시,강동구,둔촌동,  232 ,  35 ,  15 ,  24 ,  35 ,  50 ,  38 ,  35 ,  - 
서울특별시,강동구,명일동,  246 ,  9 ,  17 ,  11 ,  35 ,  58 ,  68 ,  48 ,  - 
서울특별시,강동구,상일동,  104 ,  11 ,  11 ,  9 ,  7 ,  23 ,  36 ,  6 ,  1 
서울특별시,강동구,성내동,  771 ,  53 ,  71 ,  56 ,  77 ,  142 ,  157 ,  207 ,  8 
서울특별시,강동구,암사동,  383 ,  28 ,  29 ,  22 ,  33 ,  79 ,  61 ,  125 ,  6 
서울특별시,강동구,천호동,"  1,019 ",  52 ,  53 ,  61 ,  86 ,  156 ,  133 ,  451 ,  27 
서울특별시,강북구,미아동,"  1,454 ",  94 ,  60 ,  76 ,  145 ,  234 ,  233 ,  610 ,  2 
서울특별시,강북구,번동,  477 ,  56 ,  40 ,  42 ,  78 ,  114 ,  55 ,  92 ,  - 
서울특별시,강북구,수유동,"  1,523 ",  121 ,  81 ,  66 ,  155 ,  257 ,  285 ,  557 ,  1 
서울특별시,강북구,우이동,  189 ,  28 ,  12 ,  18 ,  11 ,  11 ,  27 ,  78 ,  4 
서울특별시,강서구,가양동,  186 ,  25 ,  17 ,  26 ,  31 ,  49 ,  8 ,  28 ,  2 
서울특별시,강서구,개화동,  75 ,  42 ,  13 ,  1 ,  2 ,  - ,  8 ,  8 ,  1 
서울특별시,강서구,공항동,  389 ,  35 ,  28 ,  43 ,  53 ,  37 ,  45 ,  120 ,  28 
서울특별시,강서구,과해동,  3 ,  - ,  - ,  - ,  - ,  - ,  - ,  3 ,  - 
서울특별시,강서구,내발산동,  214 ,  16 ,  45 ,  21 ,  34 ,  29 ,  29 ,  40 ,  - 
