,,,,,,,,,,,단위 : 동
구분,구분,구분,합계,10년미만,10~15년미만,15~20년미만,20~25년미만,25~30년미만,30~35년미만,35년이상,기타
서울특별시,강남구,개포동,"  1,144 ",  116 ,  32 ,  104 ,  134 ,  286 ,  200 ,  218 ,  54 
서울특별시,강남구,논현동,"  2,475 ",  235 ,  153 ,  639 ,  645 ,  401 ,  152 ,  248 ,  2 
서울특별시,강남구,대치동,"  1,457 ",  93 ,  156 ,  389 ,  337 ,  109 ,  183 ,  178 ,  12 
서울특별시,강남구,도곡동,  531 ,  47 ,  76 ,  74 ,  102 ,  74 ,  85 ,  72 ,  1 
서울특별시,강남구,삼성동,"  1,282 ",  80 ,  170 ,  295 ,  273 ,  146 ,  176 ,  125 ,  17 
서울특별시,강남구,세곡동,  298 ,  148 ,  14 ,  9 ,  7 ,  1 ,  38 ,  81 ,  - 
서울특별시,강남구,수서동,  160 ,  40 ,  1 ,  3 ,  22 ,  62 ,  22 ,  2 ,  8 
서울특별시,강남구,신사동,  759 ,  32 ,  51 ,  144 ,  291 ,  62 ,  57 ,  119 ,  3 
서울특별시,강남구,압구정동,  177 ,  2 ,  - ,  - ,  5 ,  - ,  16 ,  126 ,  28 
서울특별시,강남구,역삼동,"  2,598 ",  311 ,  206 ,  837 ,  664 ,  243 ,  163 ,  173 ,  1 
서울특별시,강남구,율현동,  296 ,  124 ,  6 ,  2 ,  4 ,  74 ,  65 ,  8 ,  13 
서울특별시,강남구,일원동,  999 ,  18 ,  14 ,  17 ,  117 ,  121 ,  624 ,  47 ,  41 
서울특별시,강남구,자곡동,  322 ,  144 ,  11 ,  9 ,  6 ,  63 ,  69 ,  9 ,  11 
서울특별시,강남구,청담동,  807 ,  75 ,  58 ,  131 ,  189 ,  133 ,  78 ,  104 ,  39 
서울특별시,강동구,강일동,  185 ,  130 ,  2 ,  - ,  3 ,  1 ,  5 ,  11 ,  33 
서울특별시,강동구,고덕동,"  1,151 ",  69 ,  1 ,  7 ,  28 ,  111 ,  920 ,  4 ,  11 
서울특별시,강동구,길동,"  1,554 ",  240 ,  113 ,  191 ,  293 ,  308 ,  231 ,  162 ,  16 
서울특별시,강동구,둔촌동,"  1,140 ",  162 ,  56 ,  94 ,  100 ,  215 ,  220 ,  242 ,  51 
서울특별시,강동구,명일동,  661 ,  48 ,  26 ,  67 ,  74 ,  112 ,  274 ,  54 ,  6 
서울특별시,강동구,상일동,  508 ,  87 ,  8 ,  8 ,  9 ,  73 ,  265 ,  41 ,  17 
서울특별시,강동구,성내동,"  3,300 ",  421 ,  270 ,  458 ,  467 ,  694 ,  529 ,  418 ,  43 
서울특별시,강동구,암사동,"  2,617 ",  490 ,  249 ,  224 ,  236 ,  486 ,  521 ,  305 ,  106 
서울특별시,강동구,천호동,"  5,189 ",  503 ,  189 ,  371 ,  547 ,"  1,696 ",  881 ,  884 ,  118 
서울특별시,강북구,미아동,"  10,376 ",  726 ,  352 ,  541 ,"  1,579 ","  2,357 ","  1,163 ","  3,648 ",  10 
