0.016666667,20170101,종로구
0,20170102,종로구
0,20170103,종로구
0,20170104,종로구
0,20170105,종로구
0,20170106,종로구
0,20170107,종로구
0.008333333,20170108,종로구
0,20170109,종로구
0,20170110,종로구
0.004166667,20170111,종로구
0,20170112,종로구
0.016666667,20170113,종로구
0,20170114,종로구
0,20170115,종로구
0,20170116,종로구
0,20170117,종로구
0.004166667,20170118,종로구
0.108333333,20170119,종로구
0.004166667,20170120,종로구
0.054166667,20170121,종로구
0,20170122,종로구
0,20170123,종로구
0,20170124,종로구
0,20170125,종로구
0.166666667,20170126,종로구
0,20170127,종로구
0,20170128,종로구
0.1625,20170129,종로구
0,20170130,종로구
0,20170131,종로구
0.016666667,20170101,중구
0,20170102,중구
0,20170103,중구
0,20170104,중구
0,20170105,중구
0,20170106,중구
0,20170107,중구
0.008333333,20170108,중구
0,20170109,중구
0,20170110,중구
0.004166667,20170111,중구
0,20170112,중구
0.016666667,20170113,중구
0,20170114,중구
0,20170115,중구
0,20170116,중구
0,20170117,중구
0.004166667,20170118,중구
0.108333333,20170119,중구
0.004166667,20170120,중구
0.054166667,20170121,중구
0,20170122,중구
0,20170123,중구
0,20170124,중구
0,20170125,중구
0.166666667,20170126,중구
0,20170127,중구
0,20170128,중구
0.1625,20170129,중구
0,20170130,중구
0,20170131,중구
0.020833333,20170101,용산구
0,20170102,용산구
0,20170103,용산구
0,20170104,용산구
0,20170105,용산구
0,20170106,용산구
0,20170107,용산구
0.004166667,20170108,용산구
0,20170109,용산구
0,20170110,용산구
0.004166667,20170111,용산구
0,20170112,용산구
0.0125,20170113,용산구
0,20170114,용산구
0,20170115,용산구
0,20170116,용산구
0,20170117,용산구
0,20170118,용산구
0.125,20170119,용산구
0,20170120,용산구
0.075,20170121,용산구
0,20170122,용산구
0,20170123,용산구
0,20170124,용산구
0,20170125,용산구
0.158333333,20170126,용산구
0,20170127,용산구
0,20170128,용산구
0.175,20170129,용산구
0,20170130,용산구
0,20170131,용산구
0.025,20170101,성동구
0,20170102,성동구
0,20170103,성동구
0,20170104,성동구
0,20170105,성동구
0,20170106,성동구
0,20170107,성동구
0.016666667,20170108,성동구
0,20170109,성동구
0,20170110,성동구
0,20170111,성동구
0,20170112,성동구
0.016666667,20170113,성동구
0,20170114,성동구
0,20170115,성동구
0,20170116,성동구
0,20170117,성동구
0,20170118,성동구
0.075,20170119,성동구
0,20170120,성동구
0.041666667,20170121,성동구
0,20170122,성동구
0,20170123,성동구
0,20170124,성동구
0,20170125,성동구
0.179166667,20170126,성동구
0,20170127,성동구
0,20170128,성동구
0.195833333,20170129,성동구
0,20170130,성동구
0,20170131,성동구
0.029166667,20170101,광진구
0,20170102,광진구
0,20170103,광진구
0,20170104,광진구
0,20170105,광진구
0,20170106,광진구
0,20170107,광진구
0.025,20170108,광진구
0,20170109,광진구
0,20170110,광진구
0.004166667,20170111,광진구
0,20170112,광진구
0.016666667,20170113,광진구
0,20170114,광진구
0,20170115,광진구
0,20170116,광진구
0,20170117,광진구
0.004166667,20170118,광진구
0.133333333,20170119,광진구
0.004166667,20170120,광진구
0.066666667,20170121,광진구
0,20170122,광진구
0,20170123,광진구
0,20170124,광진구
0,20170125,광진구
0.170833333,20170126,광진구
0,20170127,광진구
0,20170128,광진구
0.241666667,20170129,광진구
0,20170130,광진구
0,20170131,광진구
0.025,20170101,동대문구
0,20170102,동대문구
0,20170103,동대문구
0,20170104,동대문구
0,20170105,동대문구
0,20170106,동대문구
0,20170107,동대문구
0.016666667,20170108,동대문구
0,20170109,동대문구
0,20170110,동대문구
0,20170111,동대문구
0,20170112,동대문구
0.016666667,20170113,동대문구
0,20170114,동대문구
0,20170115,동대문구
0,20170116,동대문구
0,20170117,동대문구
0,20170118,동대문구
0.075,20170119,동대문구
0,20170120,동대문구
0.041666667,20170121,동대문구
0,20170122,동대문구
0,20170123,동대문구
0,20170124,동대문구
0,20170125,동대문구
0.179166667,20170126,동대문구
0,20170127,동대문구
0,20170128,동대문구
0.195833333,20170129,동대문구
0,20170130,동대문구
0,20170131,동대문구
0.020833333,20170101,중랑구
0,20170102,중랑구
0,20170103,중랑구
0,20170104,중랑구
0,20170105,중랑구
0,20170106,중랑구
0,20170107,중랑구
0.008333333,20170108,중랑구
0,20170109,중랑구
0,20170110,중랑구
0,20170111,중랑구
0,20170112,중랑구
0.0125,20170113,중랑구
0,20170114,중랑구
0,20170115,중랑구
0,20170116,중랑구
0,20170117,중랑구
0,20170118,중랑구
0.129166667,20170119,중랑구
0,20170120,중랑구
0.033333333,20170121,중랑구
0,20170122,중랑구
0,20170123,중랑구
0,20170124,중랑구
0,20170125,중랑구
0.15,20170126,중랑구
0,20170127,중랑구
0,20170128,중랑구
0.2375,20170129,중랑구
0,20170130,중랑구
0,20170131,중랑구
0.016666667,20170101,성북구
0,20170102,성북구
0,20170103,성북구
0,20170104,성북구
0,20170105,성북구
0,20170106,성북구
0,20170107,성북구
0.008333333,20170108,성북구
0,20170109,성북구
0,20170110,성북구
0.004166667,20170111,성북구
0,20170112,성북구
0.016666667,20170113,성북구
0,20170114,성북구
0,20170115,성북구
0,20170116,성북구
0,20170117,성북구
0.004166667,20170118,성북구
0.108333333,20170119,성북구
0.004166667,20170120,성북구
0.054166667,20170121,성북구
0,20170122,성북구
0,20170123,성북구
0,20170124,성북구
0,20170125,성북구
0.166666667,20170126,성북구
0,20170127,성북구
0,20170128,성북구
0.1625,20170129,성북구
0,20170130,성북구
0,20170131,성북구
0.020833333,20170101,강북구
0,20170102,강북구
0,20170103,강북구
