습도,날짜,자치구
58.79166667,20150120,중랑구
63.625,20150121,중랑구
66.45833333,20150122,중랑구
68.66666667,20150123,중랑구
68.45833333,20150124,중랑구
87.70833333,20150125,중랑구
81.0,20150126,중랑구
51.33333333,20150127,중랑구
57.20833333,20150128,중랑구
59.33333333,20150129,중랑구
51.79166667,20150130,중랑구
49.20833333,20150131,중랑구
47.66666667,20150101,성북구
45.79166667,20150102,성북구
59.58333333,20150103,성북구
77.83333333,20150104,성북구
72.0,20150105,성북구
38.41666667,20150106,성북구
37.875,20150107,성북구
49.20833333,20150108,성북구
54.08333333,20150109,성북구
64.0,20150110,성북구
47.58333333,20150111,성북구
40.83333333,20150112,성북구
37.91666667,20150113,성북구
41.33333333,20150114,성북구
62.70833333,20150115,성북구
66.41666667,20150116,성북구
43.16666667,20150117,성북구
77.75,20150118,성북구
64.83333333,20150119,성북구
53.20833333,20150120,성북구
60.20833333,20150121,성북구
62.66666667,20150122,성북구
63.91666667,20150123,성북구
64.79166667,20150124,성북구
86.0,20150125,성북구
79.08333333,20150126,성북구
50.20833333,20150127,성북구
51.5,20150128,성북구
56.70833333,20150129,성북구
49.75,20150130,성북구
47.20833333,20150131,성북구
49.66666667,20150101,강북구
48.16666667,20150102,강북구
62.79166667,20150103,강북구
80.91666667,20150104,강북구
74.875,20150105,강북구
39.08333333,20150106,강북구
40.83333333,20150107,강북구
54.5,20150108,강북구
55.58333333,20150109,강북구
65.66666667,20150110,강북구
49.08333333,20150111,강북구
48.16666667,20150112,강북구
47.70833333,20150113,강북구
46.08333333,20150114,강북구
65.66666667,20150115,강북구
66.54166667,20150116,강북구
46.66666667,20150117,강북구
75.625,20150118,강북구
65.95833333,20150119,강북구
60.91666667,20150120,강북구
64.08333333,20150121,강북구
69.375,20150122,강북구
67.875,20150123,강북구
70.125,20150124,강북구
86.41666667,20150125,강북구
79.95833333,20150126,강북구
51.08333333,20150127,강북구
57.66666667,20150128,강북구
59.95833333,20150129,강북구
52.04166667,20150130,강북구
48.5,20150131,강북구
49.66666667,20150101,도봉구
48.16666667,20150102,도봉구
62.79166667,20150103,도봉구
80.91666667,20150104,도봉구
74.875,20150105,도봉구
39.08333333,20150106,도봉구
40.83333333,20150107,도봉구
54.5,20150108,도봉구
55.58333333,20150109,도봉구
65.66666667,20150110,도봉구
49.08333333,20150111,도봉구
48.16666667,20150112,도봉구
