자치구,화재건수,인명피해,재산피해,날짜
강남구,0,0,0,20160101
강동구,0,0,0,20160101
강북구,2,0,5139,20160101
강서구,0,0,0,20160101
관악구,0,0,0,20160101
광진구,0,0,0,20160101
구로구,0,0,0,20160101
금천구,0,0,0,20160101
노원구,1,0,20,20160101
도봉구,1,0,30,20160101
동대문구,0,0,0,20160101
동작구,0,0,0,20160101
마포구,1,0,11,20160101
서대문구,1,0,5255,20160101
서초구,0,0,0,20160101
성동구,1,0,57,20160101
성북구,0,0,0,20160101
송파구,2,1,19288,20160101
양천구,1,0,53,20160101
영등포구,0,0,0,20160101
용산구,0,0,0,20160101
은평구,0,0,0,20160101
종로구,1,0,11,20160101
중구,0,0,0,20160101
중랑구,0,0,0,20160101
강남구,1,0,20882,20160102
강동구,1,0,102,20160102
강북구,0,0,0,20160102
강서구,1,0,50,20160102
관악구,0,0,0,20160102
광진구,0,0,0,20160102
구로구,2,0,110,20160102
금천구,0,0,0,20160102
노원구,0,0,0,20160102
도봉구,0,0,0,20160102
동대문구,0,0,0,20160102
동작구,1,0,238,20160102
마포구,0,0,0,20160102
서대문구,1,0,20,20160102
서초구,3,0,5465,20160102
성동구,0,0,0,20160102
성북구,0,0,0,20160102
송파구,0,0,0,20160102
양천구,0,0,0,20160102
영등포구,0,0,0,20160102
용산구,0,0,0,20160102
은평구,0,0,0,20160102
종로구,1,0,30,20160102
중구,0,0,0,20160102
중랑구,1,0,1008,20160102
강남구,0,0,0,20160103
강동구,0,0,0,20160103
강북구,0,0,0,20160103
강서구,1,0,1,20160103
관악구,1,0,30,20160103
광진구,0,0,0,20160103
구로구,1,0,422,20160103
금천구,0,0,0,20160103
노원구,0,0,0,20160103
도봉구,0,0,0,20160103
동대문구,1,0,38,20160103
동작구,0,0,0,20160103
마포구,0,0,0,20160103
서대문구,0,0,0,20160103
서초구,0,0,0,20160103
성동구,0,0,0,20160103
성북구,2,0,3060,20160103
송파구,0,0,0,20160103
양천구,1,0,3,20160103
영등포구,0,0,0,20160103
용산구,0,0,0,20160103
은평구,1,0,47,20160103
종로구,0,0,0,20160103
중구,1,0,72,20160103
중랑구,0,0,0,20160103
강남구,2,0,4962,20160104
강동구,0,0,0,20160104
강북구,0,0,0,20160104
강서구,0,0,0,20160104
관악구,2,0,1438,20160104
광진구,0,0,0,20160104
구로구,0,0,0,20160104
금천구,1,0,135,20160104
노원구,0,0,0,20160104
도봉구,1,0,53,20160104
동대문구,1,0,440,20160104
동작구,1,0,193,20160104
마포구,0,0,0,20160104
서대문구,0,0,0,20160104
서초구,0,0,0,20160104
성동구,0,0,0,20160104
성북구,1,0,200,20160104
송파구,1,0,770,20160104
양천구,0,0,0,20160104
영등포구,1,0,2905,20160104
용산구,1,0,0,20160104
은평구,0,0,0,20160104
종로구,0,0,0,20160104
중구,0,0,0,20160104
중랑구,1,0,33,20160104
강남구,1,0,29,20160105
강동구,1,0,15,20160105
강북구,0,0,0,20160105
강서구,0,0,0,20160105
관악구,1,0,1840,20160105
광진구,0,0,0,20160105
구로구,0,0,0,20160105
금천구,0,0,0,20160105
노원구,1,1,209,20160105
도봉구,0,0,0,20160105
동대문구,2,1,28288,20160105
동작구,0,0,0,20160105
마포구,0,0,0,20160105
서대문구,0,0,0,20160105
서초구,1,0,59,20160105
성동구,0,0,0,20160105
성북구,0,0,0,20160105
송파구,1,0,225,20160105
양천구,1,0,31,20160105
영등포구,0,0,0,20160105
용산구,0,0,0,20160105
은평구,2,0,1022,20160105
종로구,0,0,0,20160105
중구,2,0,136,20160105
중랑구,1,0,4249,20160105
강남구,2,0,603,20160106
강동구,0,0,0,20160106
강북구,2,0,318,20160106
강서구,1,0,319,20160106
관악구,0,0,0,20160106
광진구,1,0,12563,20160106
구로구,0,0,0,20160106
금천구,0,0,0,20160106
노원구,0,0,0,20160106
도봉구,0,0,0,20160106
동대문구,1,0,381,20160106
동작구,1,0,97,20160106
마포구,1,0,487,20160106
서대문구,0,0,0,20160106
서초구,3,0,284,20160106
성동구,0,0,0,20160106
성북구,0,0,0,20160106
송파구,1,0,3922,20160106
양천구,0,0,0,20160106
영등포구,1,0,218,20160106
용산구,1,0,5,20160106
은평구,1,0,118,20160106
종로구,1,0,20,20160106
중구,0,0,0,20160106
중랑구,0,0,0,20160106
강남구,0,0,0,20160107
강동구,0,0,0,20160107
강북구,0,0,0,20160107
강서구,0,0,0,20160107
관악구,2,0,70,20160107
광진구,0,0,0,20160107
구로구,1,0,121,20160107
