,,,,,,,,,,,단위 : 동
구분,구분,구분,합계,10년미만,10~15년미만,15~20년미만,20~25년미만,25~30년미만,30~35년미만,35년이상,기타
서울특별시,구로구,궁동,  33 ,  6 ,  11 ,  2 ,  6 ,  3 ,  1 ,  4 ,  - 
서울특별시,구로구,신도림동,  19 ,  5 ,  1 ,  3 ,  5 ,  1 ,  3 ,  1 ,  - 
서울특별시,구로구,오류동,  72 ,  13 ,  10 ,  4 ,  11 ,  3 ,  5 ,  9 ,  17 
서울특별시,구로구,온수동,  8 ,  1 ,  - ,  1 ,  1 ,  - ,  3 ,  2 ,  - 
서울특별시,구로구,천왕동,  11 ,  10 ,  - ,  - ,  - ,  - ,  - ,  1 ,  - 
서울특별시,구로구,항동,  10 ,  3 ,  - ,  1 ,  - ,  - ,  - ,  6 ,  - 
서울특별시,금천구,가산동,  54 ,  5 ,  15 ,  7 ,  8 ,  3 ,  5 ,  9 ,  2 
서울특별시,금천구,독산동,  154 ,  24 ,  21 ,  16 ,  24 ,  18 ,  16 ,  29 ,  6 
서울특별시,금천구,시흥동,  172 ,  18 ,  22 ,  24 ,  32 ,  14 ,  23 ,  37 ,  2 
서울특별시,노원구,공릉동,  298 ,  37 ,  36 ,  43 ,  36 ,  16 ,  22 ,  101 ,  7 
서울특별시,노원구,상계동,  240 ,  32 ,  28 ,  35 ,  56 ,  54 ,  25 ,  10 ,  - 
서울특별시,노원구,월계동,  117 ,  29 ,  14 ,  13 ,  34 ,  6 ,  5 ,  16 ,  - 
서울특별시,노원구,중계동,  130 ,  17 ,  21 ,  22 ,  35 ,  25 ,  6 ,  4 ,  - 
서울특별시,노원구,하계동,  75 ,  12 ,  10 ,  15 ,  16 ,  10 ,  6 ,  5 ,  1 
서울특별시,도봉구,도봉동,  87 ,  14 ,  14 ,  15 ,  14 ,  8 ,  5 ,  12 ,  5 
서울특별시,도봉구,방학동,  90 ,  7 ,  20 ,  12 ,  24 ,  9 ,  8 ,  5 ,  5 
서울특별시,도봉구,쌍문동,  143 ,  25 ,  19 ,  25 ,  30 ,  12 ,  7 ,  17 ,  8 
서울특별시,도봉구,창동,  131 ,  24 ,  22 ,  20 ,  28 ,  18 ,  6 ,  12 ,  1 
서울특별시,동대문구,답십리동,  53 ,  9 ,  4 ,  8 ,  11 ,  10 ,  4 ,  7 ,  - 
