,,,,,,,,,,,단위 : 동
구분,구분,구분,합계,10년미만,10~15년미만,15~20년미만,20~25년미만,25~30년미만,30~35년미만,35년이상,기타
서울특별시,구로구,구로동,"  1,676 ",  164 ,  142 ,  81 ,  161 ,  245 ,  266 ,  431 ,  186 
서울특별시,구로구,궁동,  115 ,  11 ,  18 ,  13 ,  36 ,  13 ,  14 ,  9 ,  1 
서울특별시,구로구,신도림동,  319 ,  18 ,  22 ,  18 ,  34 ,  37 ,  35 ,  152 ,  3 
서울특별시,구로구,오류동,  438 ,  41 ,  46 ,  25 ,  54 ,  49 ,  55 ,  107 ,  61 
서울특별시,구로구,온수동,  84 ,  10 ,  9 ,  17 ,  9 ,  12 ,  7 ,  17 ,  3 
서울특별시,구로구,천왕동,  35 ,  17 ,  1 ,  17 ,  - ,  - ,  - ,  - ,  - 
서울특별시,구로구,항동,  30 ,  4 ,  10 ,  1 ,  - ,  2 ,  4 ,  7 ,  2 
서울특별시,금천구,가산동,  380 ,  83 ,  32 ,  27 ,  16 ,  39 ,  39 ,  143 ,  1 
서울특별시,금천구,독산동,"  1,043 ",  118 ,  71 ,  51 ,  98 ,  170 ,  158 ,  376 ,  1 
서울특별시,금천구,시흥동,  982 ,  66 ,  68 ,  67 ,  116 ,  120 ,  197 ,  330 ,  18 
서울특별시,노원구,공릉동,  607 ,  58 ,  77 ,  65 ,  90 ,  94 ,  84 ,  138 ,  1 
서울특별시,노원구,상계동,"  1,436 ",  78 ,  147 ,  168 ,  208 ,  400 ,  191 ,  242 ,  2 
서울특별시,노원구,월계동,  394 ,  27 ,  46 ,  51 ,  59 ,  74 ,  71 ,  61 ,  5 
서울특별시,노원구,중계동,  308 ,  33 ,  21 ,  56 ,  82 ,  57 ,  33 ,  21 ,  5 
서울특별시,노원구,하계동,  137 ,  13 ,  22 ,  25 ,  29 ,  23 ,  7 ,  15 ,  3 
서울특별시,도봉구,도봉동,  542 ,  48 ,  42 ,  31 ,  72 ,  90 ,  117 ,  137 ,  5 
서울특별시,도봉구,방학동,  614 ,  33 ,  51 ,  28 ,  105 ,  176 ,  155 ,  59 ,  7 
서울특별시,도봉구,쌍문동,  535 ,  47 ,  43 ,  42 ,  88 ,  120 ,  75 ,  118 ,  2 
서울특별시,도봉구,창동,  727 ,  62 ,  71 ,  60 ,  127 ,  190 ,  107 ,  107 ,  3 
서울특별시,동대문구,답십리동,  694 ,  34 ,  34 ,  35 ,  70 ,  130 ,  94 ,  293 ,  4 
서울특별시,동대문구,신설동,  323 ,  21 ,  21 ,  13 ,  15 ,  40 ,  55 ,  143 ,  15 
서울특별시,동대문구,용두동,  941 ,  60 ,  57 ,  54 ,  82 ,  95 ,  144 ,  399 ,  50 
서울특별시,동대문구,이문동,  557 ,  65 ,  44 ,  33 ,  56 ,  67 ,  65 ,  225 ,  2 
서울특별시,동대문구,장안동,"  1,113 ",  70 ,  72 ,  41 ,  62 ,  200 ,  436 ,  232 ,  - 
서울특별시,동대문구,전농동,  736 ,  30 ,  21 ,  29 ,  74 ,  84 ,  110 ,  365 ,  23 
서울특별시,동대문구,제기동,"  1,176 ",  64 ,  42 ,  38 ,  85 ,  103 ,  177 ,  581 ,  86 
서울특별시,동대문구,청량리동,  405 ,  14 ,  16 ,  14 ,  41 ,  38 ,  55 ,  178 ,  49 
서울특별시,동대문구,회기동,  300 ,  23 ,  12 ,  24 ,  51 ,  42 ,  42 ,  93 ,  13 
서울특별시,동대문구,휘경동,  407 ,  69 ,  31 ,  33 ,  36 ,  38 ,  51 ,  141 ,  8 
서울특별시,동작구,노량진동,  647 ,  28 ,  70 ,  51 ,  69 ,  88 ,  70 ,  243 ,  28 
