,습도,날짜,자치구
0,55.0,20181101,종로구
1,53.416666666666664,20181102,종로구
2,55.25,20181103,종로구
3,59.291666666666664,20181104,종로구
4,66.58333333333333,20181105,종로구
5,73.375,20181106,종로구
6,79.79166666666667,20181107,종로구
7,89.04166666666667,20181108,종로구
8,71.16666666666667,20181109,종로구
9,69.33333333333333,20181110,종로구
10,62.5,20181111,종로구
11,53.291666666666664,20181112,종로구
12,53.375,20181113,종로구
13,57.458333333333336,20181114,종로구
14,52.458333333333336,20181115,종로구
15,67.45833333333333,20181116,종로구
16,44.083333333333336,20181117,종로구
17,53.25,20181118,종로구
18,45.583333333333336,20181119,종로구
19,51.125,20181120,종로구
20,42.666666666666664,20181121,종로구
21,35.5,20181122,종로구
22,34.041666666666664,20181123,종로구
23,87.375,20181124,종로구
24,75.375,20181125,종로구
25,69.125,20181126,종로구
26,45.916666666666664,20181127,종로구
27,27.583333333333332,20181128,종로구
28,51.333333333333336,20181129,종로구
29,40.458333333333336,20181130,종로구
