,습도,날짜,자치구
0,45.208333333333336,20180601,종로구
1,40.916666666666664,20180602,종로구
2,37.25,20180603,종로구
3,55.458333333333336,20180604,종로구
4,56.041666666666664,20180605,종로구
5,67.0,20180606,종로구
6,65.79166666666667,20180607,종로구
7,68.75,20180608,종로구
8,67.08333333333333,20180609,종로구
9,61.833333333333336,20180610,종로구
10,75.75,20180611,종로구
11,63.291666666666664,20180612,종로구
12,69.25,20180613,종로구
13,75.54166666666667,20180614,종로구
14,55.125,20180615,종로구
15,57.625,20180616,종로구
16,65.5,20180617,종로구
17,53.833333333333336,20180618,종로구
18,65.375,20180619,종로구
19,66.875,20180620,종로구
20,59.416666666666664,20180621,종로구
21,35.083333333333336,20180622,종로구
22,58.75,20180623,종로구
23,59.583333333333336,20180624,종로구
24,51.333333333333336,20180625,종로구
25,93.91666666666667,20180626,종로구
26,81.20833333333333,20180627,종로구
27,87.375,20180628,종로구
28,79.79166666666667,20180629,종로구
29,82.5,20180630,종로구
