,습도,날짜,자치구
0,76.16666666666667,20180401,종로구
1,66.70833333333333,20180402,종로구
2,82.08333333333333,20180403,종로구
3,61.958333333333336,20180404,종로구
4,91.79166666666667,20180405,종로구
5,61.291666666666664,20180406,종로구
6,39.25,20180407,종로구
7,67.625,20180408,종로구
8,45.958333333333336,20180409,종로구
9,64.04166666666667,20180410,종로구
10,40.916666666666664,20180411,종로구
11,27.291666666666668,20180412,종로구
12,32.625,20180413,종로구
13,83.5,20180414,종로구
14,59.75,20180415,종로구
15,39.041666666666664,20180416,종로구
16,37.041666666666664,20180417,종로구
17,36.375,20180418,종로구
18,42.291666666666664,20180419,종로구
19,43.541666666666664,20180420,종로구
20,31.375,20180421,종로구
21,70.70833333333333,20180422,종로구
22,90.125,20180423,종로구
23,55.75,20180424,종로구
24,39.208333333333336,20180425,종로구
25,48.166666666666664,20180426,종로구
26,50.541666666666664,20180427,종로구
27,42.708333333333336,20180428,종로구
28,45.791666666666664,20180429,종로구
29,68.95833333333333,20180430,종로구
