,습도,날짜,자치구
0,62.541666666666664,20181001,종로구
1,61.333333333333336,20181002,종로구
2,56.375,20181003,종로구
3,54.458333333333336,20181004,종로구
4,93.70833333333333,20181005,종로구
5,80.125,20181006,종로구
6,47.708333333333336,20181007,종로구
7,48.833333333333336,20181008,종로구
8,59.583333333333336,20181009,종로구
9,53.541666666666664,20181010,종로구
10,51.625,20181011,종로구
11,56.791666666666664,20181012,종로구
12,54.666666666666664,20181013,종로구
13,62.166666666666664,20181014,종로구
14,64.70833333333333,20181015,종로구
15,60.083333333333336,20181016,종로구
16,53.041666666666664,20181017,종로구
17,58.25,20181018,종로구
18,56.25,20181019,종로구
19,51.166666666666664,20181020,종로구
20,47.666666666666664,20181021,종로구
21,54.625,20181022,종로구
22,78.20833333333333,20181023,종로구
23,64.58333333333333,20181024,종로구
24,52.166666666666664,20181025,종로구
25,71.625,20181026,종로구
26,53.708333333333336,20181027,종로구
27,75.125,20181028,종로구
28,53.791666666666664,20181029,종로구
29,53.375,20181030,종로구
30,54.875,20181031,종로구
