,습도,날짜,자치구
0,43.541666666666664,20181201,종로구
1,55.541666666666664,20181202,종로구
2,97.375,20181203,종로구
3,55.541666666666664,20181204,종로구
4,43.541666666666664,20181205,종로구
5,43.833333333333336,20181206,종로구
6,37.0,20181207,종로구
7,33.291666666666664,20181208,종로구
8,29.958333333333332,20181209,종로구
9,32.416666666666664,20181210,종로구
10,52.333333333333336,20181211,종로구
11,38.416666666666664,20181212,종로구
12,53.958333333333336,20181213,종로구
13,45.5,20181214,종로구
14,44.458333333333336,20181215,종로구
15,72.58333333333333,20181216,종로구
16,54.875,20181217,종로구
17,60.458333333333336,20181218,종로구
18,44.833333333333336,20181219,종로구
19,44.333333333333336,20181220,종로구
20,41.458333333333336,20181221,종로구
21,51.0,20181222,종로구
22,38.0,20181223,종로구
23,34.916666666666664,20181224,종로구
24,61.625,20181225,종로구
25,25.375,20181226,종로구
26,33.333333333333336,20181227,종로구
27,29.916666666666668,20181228,종로구
28,34.541666666666664,20181229,종로구
29,37.75,20181230,종로구
30,43.291666666666664,20181231,종로구
