,습도,날짜,자치구
0,44.583333333333336,20180201,종로구
1,48.791666666666664,20180202,종로구
2,42.0,20180203,종로구
3,38.125,20180204,종로구
4,33.5,20180205,종로구
5,37.791666666666664,20180206,종로구
6,38.75,20180207,종로구
7,44.375,20180208,종로구
8,56.291666666666664,20180209,종로구
9,35.083333333333336,20180210,종로구
10,39.541666666666664,20180211,종로구
11,46.666666666666664,20180212,종로구
12,54.916666666666664,20180213,종로구
13,42.041666666666664,20180214,종로구
14,33.041666666666664,20180215,종로구
15,37.083333333333336,20180216,종로구
16,27.125,20180217,종로구
17,31.5,20180218,종로구
18,56.583333333333336,20180219,종로구
19,32.916666666666664,20180220,종로구
20,38.583333333333336,20180221,종로구
21,71.79166666666667,20180222,종로구
22,73.58333333333333,20180223,종로구
23,40.958333333333336,20180224,종로구
24,46.625,20180225,종로구
25,43.833333333333336,20180226,종로구
26,53.166666666666664,20180227,종로구
27,83.70833333333333,20180228,종로구
