,습도,날짜,자치구
0,52.833333333333336,20180801,종로구
1,55.875,20180802,종로구
2,54.75,20180803,종로구
3,68.66666666666667,20180804,종로구
4,72.79166666666667,20180805,종로구
5,65.29166666666667,20180806,종로구
6,68.125,20180807,종로구
7,64.66666666666667,20180808,종로구
8,76.625,20180809,종로구
9,55.541666666666664,20180810,종로구
10,52.458333333333336,20180811,종로구
11,69.41666666666667,20180812,종로구
12,62.208333333333336,20180813,종로구
13,58.625,20180814,종로구
14,59.625,20180815,종로구
15,45.125,20180816,종로구
16,41.625,20180817,종로구
17,47.5,20180818,종로구
18,52.0,20180819,종로구
19,61.375,20180820,종로구
20,70.0,20180821,종로구
21,48.25,20180822,종로구
22,71.41666666666667,20180823,종로구
23,81.16666666666667,20180824,종로구
24,70.375,20180825,종로구
25,76.95833333333333,20180826,종로구
26,88.41666666666667,20180827,종로구
27,91.16666666666667,20180828,종로구
28,90.0,20180829,종로구
29,74.83333333333333,20180830,종로구
30,67.45833333333333,20180831,종로구
