,습도,날짜,자치구
0,45.958333333333336,20180101,종로구
1,35.958333333333336,20180102,종로구
2,40.541666666666664,20180103,종로구
3,45.958333333333336,20180104,종로구
4,49.125,20180105,종로구
5,45.75,20180106,종로구
6,47.708333333333336,20180107,종로구
7,55.416666666666664,20180108,종로구
8,60.75,20180109,종로구
9,47.625,20180110,종로구
10,43.75,20180111,종로구
11,38.916666666666664,20180112,종로구
12,67.91666666666667,20180113,종로구
13,66.25,20180114,종로구
14,52.916666666666664,20180115,종로구
15,58.458333333333336,20180116,종로구
16,66.375,20180117,종로구
17,45.708333333333336,20180118,종로구
18,47.125,20180119,종로구
19,55.208333333333336,20180120,종로구
20,34.541666666666664,20180121,종로구
21,63.666666666666664,20180122,종로구
22,42.0,20180123,종로구
23,32.0,20180124,종로구
24,31.0,20180125,종로구
25,35.875,20180126,종로구
26,35.75,20180127,종로구
27,33.958333333333336,20180128,종로구
28,37.083333333333336,20180129,종로구
29,65.5,20180130,종로구
30,44.5,20180131,종로구
