,습도,날짜,자치구
0,94.25,20180701,종로구
1,92.91666666666667,20180702,종로구
2,69.625,20180703,종로구
3,70.54166666666667,20180704,종로구
4,67.54166666666667,20180705,종로구
5,60.25,20180706,종로구
6,53.208333333333336,20180707,종로구
7,54.708333333333336,20180708,종로구
8,89.54166666666667,20180709,종로구
9,89.83333333333333,20180710,종로구
10,78.75,20180711,종로구
11,80.875,20180712,종로구
12,75.33333333333333,20180713,종로구
13,70.125,20180714,종로구
14,68.875,20180715,종로구
15,62.708333333333336,20180716,종로구
16,66.79166666666667,20180717,종로구
17,65.04166666666667,20180718,종로구
18,64.54166666666667,20180719,종로구
19,60.333333333333336,20180720,종로구
20,51.75,20180721,종로구
21,46.791666666666664,20180722,종로구
22,57.125,20180723,종로구
23,60.583333333333336,20180724,종로구
24,67.79166666666667,20180725,종로구
25,70.54166666666667,20180726,종로구
26,69.79166666666667,20180727,종로구
27,72.33333333333333,20180728,종로구
28,47.875,20180729,종로구
29,49.625,20180730,종로구
30,53.916666666666664,20180731,종로구
