,습도,날짜,자치구
0,52.958333333333336,20180901,종로구
1,59.75,20180902,종로구
2,91.75,20180903,종로구
3,61.708333333333336,20180904,종로구
4,66.25,20180905,종로구
5,67.125,20180906,종로구
6,51.75,20180907,종로구
7,47.625,20180908,종로구
8,49.625,20180909,종로구
9,47.666666666666664,20180910,종로구
10,50.375,20180911,종로구
11,56.041666666666664,20180912,종로구
12,65.16666666666667,20180913,종로구
13,69.45833333333333,20180914,종로구
14,79.25,20180915,종로구
15,80.125,20180916,종로구
16,62.25,20180917,종로구
17,57.875,20180918,종로구
18,62.791666666666664,20180919,종로구
19,86.08333333333333,20180920,종로구
20,84.91666666666667,20180921,종로구
21,55.416666666666664,20180922,종로구
22,50.541666666666664,20180923,종로구
23,49.833333333333336,20180924,종로구
24,46.125,20180925,종로구
25,46.791666666666664,20180926,종로구
26,47.791666666666664,20180927,종로구
27,63.333333333333336,20180928,종로구
28,55.5,20180929,종로구
29,47.5,20180930,종로구
